"BillID","Major","MajorProb","Minor","MinorProb","Private"
"113-hr-1128",16,0.48,1608,0.28,0
"113-hr-1129",1,0.5,107,0.86,0
"113-hr-113",15,0.2,1525,0.31,0
"113-hr-1130",15,0.18,1525,0.27,0
"113-hr-1131",16,0.92,1609,0.52,0
"113-hr-1132",16,0.5,1608,0.81,0
"113-hr-1133",20,0.3,2011,0.4,0
"113-hr-1134",3,0.58,301,0.44,0
"113-hr-1135",99,0.36,9900,1,0
"113-hr-1136",12,0.63,1208,0.45,0
"113-hr-1137",7,0.81,709,0.9,0
"113-hr-1138",8,0.45,806,0.36,0
"113-hr-1139",6,0.56,602,0.66,0
"113-hr-114",5,0.26,502,0.74,0
"113-hr-1140",13,0.16,1303,0.37,0
"113-hr-1141",20,0.35,2002,0.54,0
"113-hr-1142",21,0.95,2103,0.94,0
"113-hr-1143",5,0.32,501,0.37,0
"113-hr-1144",21,0.54,2102,0.86,0
"113-hr-1145",15,0.22,1523,0.65,0
"113-hr-1146",3,0.5,321,0.26,0
"113-hr-1147",15,0.21,1501,0.28,0
"113-hr-1148",3,0.83,302,0.43,0
"113-hr-1149",8,0.81,807,0.8,0
"113-hr-115",6,0.76,602,0.79,0
"113-hr-1150",3,0.49,321,0.28,0
"113-hr-1151",19,0.77,1921,0.73,0
"113-hr-1152",21,0.69,2104,0.59,0
"113-hr-1153",21,0.48,2104,0.8,0
"113-hr-1154",15,0.2,1525,0.31,0
"113-hr-1155",21,0.36,2101,0.73,0
"113-hr-1156",21,0.94,2101,0.87,0
"113-hr-1157",3,0.16,331,0.28,0
"113-hr-1158",21,0.64,2101,0.88,0
"113-hr-1159",15,0.21,1525,0.28,0
"113-hr-116",3,0.55,321,0.33,0
"113-hr-1160",12,0.38,1201,0.55,0
"113-hr-1161",15,0.2,1525,0.31,0
"113-hr-1162",20,0.61,2002,0.76,0
"113-hr-1163",15,0.38,1502,0.5,0
"113-hr-1164",20,0.44,2002,0.49,0
"113-hr-1165",15,0.15,1525,0.31,0
"113-hr-1166",20,0.99,2008,1,0
"113-hr-1167",21,0.3,2103,0.54,0
"113-hr-1168",21,0.96,2103,0.93,0
"113-hr-1169",14,0.5,1400,0.39,0
"113-hr-117",15,0.2,1502,0.25,0
"113-hr-1170",21,0.96,2103,0.85,0
"113-hr-1171",15,0.2,1525,0.31,0
"113-hr-1172",5,0.79,503,1,0
"113-hr-1173",3,0.64,302,0.34,0
"113-hr-1174",6,0.24,601,0.45,0
"113-hr-1175",7,0.62,700,0.42,0
"113-hr-1176",20,0.29,2002,0.44,0
"113-hr-1177",12,0.62,1208,0.62,0
"113-hr-1178",6,0.86,601,0.54,0
"113-hr-1179",3,0.7,302,0.64,0
"113-hr-118",6,0.73,607,0.37,0
"113-hr-1180",3,0.2,325,0.33,0
"113-hr-1181",20,0.7,2004,0.76,0
"113-hr-1182",15,0.21,1525,0.28,0
"113-hr-1183",21,0.73,2103,0.86,0
"113-hr-1184",15,0.79,1521,0.77,0
"113-hr-1185",7,0.49,701,0.69,0
"113-hr-1186",20,0.99,2006,1,0
"113-hr-1187",12,0.22,1207,0.21,0
"113-hr-1188",20,0.21,2002,0.51,0
"113-hr-1189",15,0.45,1525,0.55,0
"113-hr-119",1,0.74,107,0.87,0
"113-hr-1190",8,0.48,803,0.94,0
"113-hr-1191",8,0.64,803,0.92,0
"113-hr-1192",21,0.95,2101,0.95,0
